entryCode,accountingYear,dataYear,applicabilityLevel,regionCode,regionName,value,sourceCode,sourceName,publisher,documentReference,publishedOn,evidenceReference
ELECTRICITY_AVERAGE_2023_PROVINCE_130000,2023,2021,PROVINCE,130000,河北,0.7901,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_140000,2023,2021,PROVINCE,140000,山西,0.7222,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_150000,2023,2021,PROVINCE,150000,内蒙古,0.7025,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_210000,2023,2021,PROVINCE,210000,辽宁,0.5876,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_220000,2023,2021,PROVINCE,220000,吉林,0.5629,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_230000,2023,2021,PROVINCE,230000,黑龙江,0.6342,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_310000,2023,2021,PROVINCE,310000,上海,0.5834,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_320000,2023,2021,PROVINCE,320000,江苏,0.6451,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_330000,2023,2021,PROVINCE,330000,浙江,0.5422,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_340000,2023,2021,PROVINCE,340000,安徽,0.7075,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_350000,2023,2021,PROVINCE,350000,福建,0.4711,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_360000,2023,2021,PROVINCE,360000,江西,0.5835,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_370000,2023,2021,PROVINCE,370000,山东,0.6838,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_410000,2023,2021,PROVINCE,410000,河南,0.6369,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_420000,2023,2021,PROVINCE,420000,湖北,0.3672,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_430000,2023,2021,PROVINCE,430000,湖南,0.5138,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_440000,2023,2021,PROVINCE,440000,广东,0.4715,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_450000,2023,2021,PROVINCE,450000,广西,0.5154,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_460000,2023,2021,PROVINCE,460000,海南,0.4524,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_500000,2023,2021,PROVINCE,500000,重庆,0.4743,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_510000,2023,2021,PROVINCE,510000,四川,0.1255,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_520000,2023,2021,PROVINCE,520000,贵州,0.5182,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_530000,2023,2021,PROVINCE,530000,云南,0.1235,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_610000,2023,2021,PROVINCE,610000,陕西,0.6336,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_620000,2023,2021,PROVINCE,620000,甘肃,0.4955,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_630000,2023,2021,PROVINCE,630000,青海,0.1326,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_640000,2023,2021,PROVINCE,640000,宁夏,0.6546,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_650000,2023,2021,PROVINCE,650000,新疆,0.6577,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2024_NATIONAL,2024,2022,NATIONAL,,全国,0.5366,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_NORTH,2024,2022,GRID_REGION,GRID_NORTH,华北,0.6776,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_NORTHEAST,2024,2022,GRID_REGION,GRID_NORTHEAST,东北,0.5564,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_EAST,2024,2022,GRID_REGION,GRID_EAST,华东,0.5617,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_CENTRAL,2024,2022,GRID_REGION,GRID_CENTRAL,华中,0.5395,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_NORTHWEST,2024,2022,GRID_REGION,GRID_NORTHWEST,西北,0.5857,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_SOUTH,2024,2022,GRID_REGION,GRID_SOUTH,南方,0.3869,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_GRID_SOUTHWEST,2024,2022,GRID_REGION,GRID_SOUTHWEST,西南,0.2268,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_110000,2024,2022,PROVINCE,110000,北京,0.5580,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_120000,2024,2022,PROVINCE,120000,天津,0.7041,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_130000,2024,2022,PROVINCE,130000,河北,0.7252,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_140000,2024,2022,PROVINCE,140000,山西,0.7096,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_150000,2024,2022,PROVINCE,150000,内蒙古,0.6849,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_210000,2024,2022,PROVINCE,210000,辽宁,0.5626,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_220000,2024,2022,PROVINCE,220000,吉林,0.4932,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_230000,2024,2022,PROVINCE,230000,黑龙江,0.5368,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_310000,2024,2022,PROVINCE,310000,上海,0.5849,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_320000,2024,2022,PROVINCE,320000,江苏,0.5978,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_330000,2024,2022,PROVINCE,330000,浙江,0.5153,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_340000,2024,2022,PROVINCE,340000,安徽,0.6782,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_350000,2024,2022,PROVINCE,350000,福建,0.4092,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_360000,2024,2022,PROVINCE,360000,江西,0.5752,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_370000,2024,2022,PROVINCE,370000,山东,0.6410,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_410000,2024,2022,PROVINCE,410000,河南,0.6058,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_420000,2024,2022,PROVINCE,420000,湖北,0.4364,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_430000,2024,2022,PROVINCE,430000,湖南,0.4900,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_440000,2024,2022,PROVINCE,440000,广东,0.4403,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_450000,2024,2022,PROVINCE,450000,广西,0.4044,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_460000,2024,2022,PROVINCE,460000,海南,0.4184,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_500000,2024,2022,PROVINCE,500000,重庆,0.5227,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_510000,2024,2022,PROVINCE,510000,四川,0.1404,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_520000,2024,2022,PROVINCE,520000,贵州,0.4989,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_530000,2024,2022,PROVINCE,530000,云南,0.1073,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_610000,2024,2022,PROVINCE,610000,陕西,0.6558,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_620000,2024,2022,PROVINCE,620000,甘肃,0.4772,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
ELECTRICITY_AVERAGE_2024_PROVINCE_630000,2024,2022,PROVINCE,630000,青海,0.1567,MEE_NBS_ELECTRICITY_AVERAGE_2022,2022年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第33号,2024-12-26,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202412/t20241226_1099413.html
